
    speakers , L1    , age , gender , AO , LoR , style \\
    speaker78 , spanish , 52    , female , 13    , 17    , naturalistic \\
    speaker79 , swedish , 22    , female , 10    , 0.1   , academic \\
    speaker80 , swedish , 22    , female , 10    , 0.1   , academic \\
    speaker81 , swiss german , 21    , male  , 10    , 2     , academic \\
    speaker82 , taishan , 21    , male  , 7     , 10    , academic \\
    speaker83 , taiwanese , 30    , female , 13    , 0.7   , academic \\
    speaker84 , taiwanese , 33    , female , 13    , 2.5   , academic \\
    speaker85 , tamil , 26    , male  , 10    , 3     , naturalistic \\
    speaker86 , telugu , 18    , male  , 6     , 3     , academic \\
    speaker87 , thai  , 23    , female , 7     , 0.2   , academic \\
    speaker88 , tibetan , 26    , female , 13    , 0.5   , academic \\
    speaker89 , turkish , 24    , male  , 16    , 0.2   , academic \\
    speaker90 , uzbek , 39    , female , 39    , 1     , academic \\
    speaker91 , vietnamese , 29    , female , 18    , 10    , academic \\
    speaker92 , vietnamese , 69    , male  , 12    , 30    , academic \\
    speaker93 , zulu  , 24    , female , 14    , 7     , academic \\

