
    raters , gender , age , birthplace   , current residence , L1 \\
    rater107 , female , 36    , colorado , nebraska , English \\
    rater108 , male  , 34    , nevada , usa   , English \\
    rater109 , male  , 30    , michigan , usa   , English \\
    rater110 , female , 27    , texas , texas , English \\
    rater111 , female , 27    , usa   , usa   , English \\
    rater112 , female , 24    , usa   , usa   , English \\
    rater113 , female , 45    , dc    , new york , English \\
    rater114 , female , 27    , texas , texas , English \\
    rater115 , female , 36    , alabama , alabama , English \\
    rater116 , male  , 25    , north carolina , north carolina , English \\
    rater117 , male  , 30    , michigan , michigan , English \\
    rater118 , male  , 48    , iowa  , iowa  , English \\
    rater119 , NA    , 55    , nevada , usa   , English \\
    rater120 , male  , 29    , usa   , new jersey , English \\
    rater121 , male  , 40    , usa   , california , English \\
    rater122 , male  , 34    , south carolina , south carolina , English \\
    rater123 , female , 34    , washington , washington , English \\
    rater124 , female , 36    , ohio  , iowa  , English \\
    rater125 , male  , 19    , pennsylvania , pennsylvania , English \\
    rater126 , female , 63    , california , california , English \\
    rater127 , male  , 25    , california , california , English \\
    rater128 , male  , 19    , california , california , English \\
    rater129 , female , 54    , ohio  , ohio  , English \\
    rater130 , male  , 27    , new york , new york , English \\
    rater131 , male  , 29    , usa   , usa   , English \\
    rater132 , male  , 41    , oklahoma , alabama , English \\
    rater133 , female , 44    , pennsylvania , pennsylvania , English \\

